Message	Time	Device_id	Payload	Latitude	Longitude	Altitude	Precision Dop	CPU VCC (volt)	CPU Temp (deg C)	Time to fix (sec)	extra value 2
"[{""arduino_VCC"":3.88,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":44,""gps_lat"":52.63274923758203,""gps_lng"":4.738401456976021,""gps_prec"":1.6,""payload"":""ca da ff 83 5e 99 0 2c 10 / c2 78 f"",""raw"":""ytr/g16ZACwQwngP"",""time"":""2017-03-09T10:36:01.567844294Z"",""time_to_fix"":15"	3/9/2017 10:36	ballon	ca da ff 83 5e 99 0 2c 10 / c2 78 f	52.63274924	4.738401457	44	1.6	3.88	20	15	
"{""arduino_VCC"":3.88,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":9,""gps_lat"":52.63268486456184,""gps_lng"":4.738358541629225,""gps_prec"":1.6,""payload"":""ca da f9 83 5e 97 0 9 10 / c2 78 f"",""raw"":""ytr5g16XAAkQwngP"",""time"":""2017-03-09T10:38:01.71896246Z"",""time_to_fix"":15"	3/9/2017 10:38	ballon	ca da f9 83 5e 97 0 9 10 / c2 78 f	52.63268486	4.738358542	9	1.6	3.88	20	15	
"{""arduino_VCC"":3.86,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63250247433797,""gps_lng"":4.738465829996187,""gps_prec"":1.6,""payload"":""ca da e8 83 5e 9c 0 0 10 / c1 77 14"",""raw"":""ytrog16cAAAQwXcU"",""time"":""2017-03-09T10:42:08.701525135Z"",""time_to_fix"":20"	3/9/2017 10:42	ballon	ca da e8 83 5e 9c 0 0 10 / c1 77 14	52.63250247	4.73846583	0	1.6	3.86	19	20	
"{""arduino_VCC"":3.86,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":14,""gps_lat"":52.63279215292883,""gps_lng"":4.738251253262206,""gps_prec"":2.5,""payload"":""ca db 3 83 5e 92 0 e 19 / c1 77 1e"",""raw"":""ytsDg16SAA4ZwXce"",""time"":""2017-03-09T10:44:19.048352697Z"",""time_to_fix"":30"	3/9/2017 10:44	ballon	ca db 3 83 5e 92 0 e 19 / c1 77 1e	52.63279215	4.738251253	14	2.5	3.86	19	30	
"{""arduino_VCC"":4.2,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.632438101317774,""gps_lng"":4.738379999302595,""gps_prec"":2.5,""payload"":""ca da e2 83 5e 98 0 0 19 / d2 78 23"",""raw"":""ytrig16YAAAZ0ngj"",""time"":""2017-03-09T10:46:25.031113261Z"",""time_to_fix"":35"	3/9/2017 10:46	ballon	ca da e2 83 5e 98 0 0 19 / d2 78 23	52.6324381	4.738379999	0	2.5	4.2	20	35	
"{""arduino_VCC"":4.18,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63245955899117,""gps_lng"":4.738229795588836,""gps_prec"":1.4,""payload"":""ca da e4 83 5e 91 0 0 e / d1 78 f"",""raw"":""ytrkg16RAAAO0XgP"",""time"":""2017-03-09T10:50:06.080348099Z"",""time_to_fix"":15"	3/9/2017 10:50	ballon	ca da e4 83 5e 91 0 0 e / d1 78 f	52.63245956	4.738229796	0	1.4	4.18	20	15	
"{""arduino_VCC"":4.24,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":18,""gps_lat"":52.63269559339855,""gps_lng"":4.738444372322817,""gps_prec"":1.8,""payload"":""ca da fa 83 5e 9b 0 12 12 / d4 78 f"",""raw"":""ytr6g16bABIS1HgP"",""time"":""2017-03-09T10:52:07.025649195Z"",""time_to_fix"":15"	3/9/2017 10:52	ballon	ca da fa 83 5e 9b 0 12 12 / d4 78 f	52.63269559	4.738444372	18	1.8	4.24	20	15	
"{""arduino_VCC"":4.04,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63239518597098,""gps_lng"":4.738594576036576,""gps_prec"":1.4,""payload"":""ca da de 83 5e a2 0 0 e / ca 78 14"",""raw"":""ytreg16iAAAOyngU"",""time"":""2017-03-09T10:54:13.387168074Z"",""time_to_fix"":20"	3/9/2017 10:54	ballon	ca da de 83 5e a2 0 0 e / ca 78 14	52.63239519	4.738594576	0	1.4	4.04	20	20	
"{""arduino_VCC"":3.96,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":16,""gps_lat"":52.63271705107195,""gps_lng"":4.73818688024204,""gps_prec"":1.4,""payload"":""ca da fc 83 5e 8f 0 10 e / c6 79 f"",""raw"":""ytr8g16PABAOxnkP"",""time"":""2017-03-09T10:58:10.019964973Z"",""time_to_fix"":15"	3/9/2017 10:58	ballon	ca da fc 83 5e 8f 0 10 e / c6 79 f	52.63271705	4.73818688	16	1.4	3.96	21	15	
"{""arduino_VCC"":3.96,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63419763053642,""gps_lng"":4.740182443868036,""gps_prec"":1.4,""payload"":""ca db 86 83 5e ec 0 0 e / c6 78 f"",""raw"":""ytuGg17sAAAOxngP"",""time"":""2017-03-09T11:00:11.098920996Z"",""time_to_fix"":15"	3/9/2017 11:00	ballon	ca db 86 83 5e ec 0 0 e / c6 78 f	52.63419763	4.740182444	0	1.4	3.96	20	15	
"{""arduino_VCC"":3.98,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63728753550575,""gps_lng"":4.748851343920876,""gps_prec"":1.4,""payload"":""ca dc a6 83 60 80 0 0 e / c7 79 f"",""raw"":""ytymg2CAAAAOx3kP"",""time"":""2017-03-09T11:02:12.0124494Z"",""time_to_fix"":15"	3/9/2017 11:02	ballon	ca dc a6 83 60 80 0 0 e / c7 79 f	52.63728754	4.748851344	0	1.4	3.98	21	15	
"{""arduino_VCC"":3.96,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":27,""gps_lat"":52.63771668897371,""gps_lng"":4.750138804324763,""gps_prec"":1.4,""payload"":""ca dc ce 83 60 bc 0 1b e / c6 79 a"",""raw"":""ytzOg2C8ABsOxnkK"",""time"":""2017-03-09T11:04:08.045054055Z"",""time_to_fix"":10"	3/9/2017 11:04	ballon	ca dc ce 83 60 bc 0 1b e / c6 79 a	52.63771669	4.750138804	27	1.4	3.96	21	10	
"{""arduino_VCC"":3.88,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":27,""gps_lat"":52.63771668897371,""gps_lng"":4.750138804324763,""gps_prec"":1.4,""payload"":""ca dc ce 83 60 bc 0 1b e / c2 78 6d"",""raw"":""ytzOg2C8ABsOwnht"",""time"":""2017-03-09T11:11:04.857453982Z"",""time_to_fix"":305"	3/9/2017 11:11	ballon	ca dc ce 83 60 bc 0 1b e / c2 78 6d	52.63771669	4.750138804	27	1.4	3.88	20	305	
"{""arduino_VCC"":3.88,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":27,""gps_lat"":52.63771668897371,""gps_lng"":4.750138804324763,""gps_prec"":1.4,""payload"":""ca dc ce 83 60 bc 0 1b e / c2 77 6d"",""raw"":""ytzOg2C8ABsOwndt"",""time"":""2017-03-09T11:16:17.421681569Z"",""time_to_fix"":305"	3/9/2017 11:16	ballon	ca dc ce 83 60 bc 0 1b e / c2 77 6d	52.63771669	4.750138804	27	1.4	3.88	19	305	
"{""arduino_VCC"":3.9,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":27,""gps_lat"":52.63771668897371,""gps_lng"":4.750138804324763,""gps_prec"":1.4,""payload"":""ca dc ce 83 60 bc 0 1b e / c3 77 6d"",""raw"":""ytzOg2C8ABsOw3dt"",""time"":""2017-03-09T11:21:29.415410857Z"",""time_to_fix"":305"	3/9/2017 11:21	ballon	ca dc ce 83 60 bc 0 1b e / c3 77 6d	52.63771669	4.750138804	27	1.4	3.9	19	305	
"{""arduino_VCC"":3.92,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.638199486625155,""gps_lng"":4.750868365220299,""gps_prec"":1.9,""payload"":""ca dc fb 83 60 de 0 0 13 / c4 77 1e"",""raw"":""ytz7g2DeAAATxHce"",""time"":""2017-03-09T11:22:06.514818984Z"",""time_to_fix"":30"	3/9/2017 11:22	ballon	ca dc fb 83 60 de 0 0 13 / c4 77 1e	52.63819949	4.750868365	0	1.9	3.92	19	30	
"{""arduino_VCC"":4.16,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.638596453583034,""gps_lng"":4.749666735510004,""gps_prec"":3.3,""payload"":""ca dd 20 83 60 a6 0 0 21 / d0 77 55"",""raw"":""yt0gg2CmAAAh0HdV"",""time"":""2017-03-09T11:26:42.385177231Z"",""time_to_fix"":185"	3/9/2017 11:26	ballon	ca dd 20 83 60 a6 0 0 21 / d0 77 55	52.63859645	4.749666736	0	3.3	4.16	19	185	
"{""arduino_VCC"":4.14,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":44,""gps_lat"":52.63849989405273,""gps_lng"":4.749537989469616,""gps_prec"":3.1,""payload"":""ca dd 17 83 60 a0 0 2c 1f / cf 77 19"",""raw"":""yt0Xg2CgACwfz3cZ"",""time"":""2017-03-09T11:27:14.06377493Z"",""time_to_fix"":25"	3/9/2017 11:27	ballon	ca dd 17 83 60 a0 0 2c 1f / cf 77 19	52.63849989	4.749537989	44	3.1	4.14	19	25	
"{""arduino_VCC"":3.98,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":35,""gps_lat"":52.63855353823624,""gps_lng"":4.750010058284374,""gps_prec"":3,""payload"":""ca dd 1c 83 60 b6 0 23 1e / c7 77 40"",""raw"":""yt0cg2C2ACMex3dA"",""time"":""2017-03-09T11:30:10.869312158Z"",""time_to_fix"":80"	3/9/2017 11:30	ballon	ca dd 1c 83 60 b6 0 23 1e / c7 77 40	52.63855354	4.750010058	35	3	3.98	19	80	
"{""arduino_VCC"":4.2,""arduino_temp"":18,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.638650097766515,""gps_lng"":4.749645277836635,""gps_prec"":3,""payload"":""ca dd 25 83 60 a5 0 0 1e / d2 76 23"",""raw"":""yt0lg2ClAAAe0nYj"",""time"":""2017-03-09T11:31:26.514028894Z"",""time_to_fix"":35"	3/9/2017 11:31	ballon	ca dd 25 83 60 a5 0 0 1e / d2 76 23	52.6386501	4.749645278	0	3	4.2	18	35	
"{""arduino_VCC"":4.02,""arduino_temp"":18,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.638521351726126,""gps_lng"":4.749731108530227,""gps_prec"":1.5,""payload"":""ca dd 19 83 60 a9 0 0 f / c9 76 3c"",""raw"":""yt0Zg2CpAAAPyXY8"",""time"":""2017-03-09T11:33:52.519648703Z"",""time_to_fix"":60"	3/9/2017 11:33	ballon	ca dd 19 83 60 a9 0 0 f / c9 76 3c	52.63852135	4.749731109	0	1.5	4.02	18	60	
"{""arduino_VCC"":4.02,""arduino_temp"":18,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63831750382886,""gps_lng"":4.750203177344986,""gps_prec"":3.1,""payload"":""ca dd 6 83 60 bf 0 0 1f / c9 76 2d"",""raw"":""yt0Gg2C/AAAfyXYt"",""time"":""2017-03-09T11:35:38.503290832Z"",""time_to_fix"":45"	3/9/2017 11:35	ballon	ca dd 6 83 60 bf 0 0 1f / c9 76 2d	52.6383175	4.750203177	0	3.1	4.02	18	45	
"{""arduino_VCC"":4.02,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":6,""gps_lat"":52.63815657127836,""gps_lng"":4.75039629640554,""gps_prec"":3.1,""payload"":""ca dc f7 83 60 c8 0 6 1f / c9 77 2d"",""raw"":""ytz3g2DIAAYfyXct"",""time"":""2017-03-09T11:37:39.680671635Z"",""time_to_fix"":45"	3/9/2017 11:37	ballon	ca dc f7 83 60 c8 0 6 1f / c9 77 2d	52.63815657	4.750396296	6	3.1	4.02	19	45	
"{""arduino_VCC"":4.02,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63828531731875,""gps_lng"":4.7500529736311705,""gps_prec"":1.5,""payload"":""ca dd 3 83 60 b8 0 0 f / c9 77 28"",""raw"":""yt0Dg2C4AAAPyXco"",""time"":""2017-03-09T11:39:35.492556782Z"",""time_to_fix"":40"	3/9/2017 11:39	ballon	ca dd 3 83 60 b8 0 0 f / c9 77 28	52.63828532	4.750052974	0	1.5	4.02	19	40	
